"Abilene, TX",10180,176579,32.44917000000004,-99.74141999999995
"Akron, OH",10420,702219,41.08431000000007,-81.51430999999997
"Albany, GA",10500,148922,31.58140000000003,-84.15601999999996
"Albany, OR",10540,128610,44.63548000000003,-123.10775999999998
"Albany, NY",10580,899262,42.65155000000004,-73.75520999999998
"Albuquerque, NM",10740,916528,35.08423000000005,-106.64904999999999
"Alexandria, LA",10780,152192,31.31266000000005,-92.44567999999998
"Allentown, PA",10900,861889,40.60263000000003,-75.47026999999997
"Altoona, PA",11020,122822,40.50719000000004,-78.39889999999997
"Amarillo, TX",11100,268761,35.207250000000045,-101.83388999999994
"Ames, IA",11180,125252,42.02534000000003,-93.62019999999995
"Anchorage, AK",11260,398328,61.21753000000007,-149.85824999999997
"Ann Arbor, MI",11460,372258,42.28210000000007,-83.74846999999994
"Anniston, AL",11500,116441,33.65712000000008,-85.81890999999996
"Appleton, WI",11540,243147,44.261780000000044,-88.41713999999996
"Asheville, NC",11700,469015,35.59868000000006,-82.55339999999995
"Athens, GA",12020,215415,33.95816000000008,-83.37311999999997
"Atlanta, GA",12060,6089815,33.74831000000006,-84.39110999999997
"Atlantic City, NJ",12100,274534,39.36287000000004,-74.42636999999996
"Auburn, AL",12220,174241,32.60829000000007,-85.48172999999997
"Augusta, GA",12260,611000,33.47929000000005,-81.97521999999998
"Austin, TX",12420,2283371,30.26759000000004,-97.74298999999996
"Bakersfield, CA",12540,909235,35.36730000000006,-119.01885999999996
"Baltimore, MD",12580,2844510,39.290580000000034,-76.60925999999995
"Bangor, ME",12620,152199,44.80171000000007,-68.77076999999997
"Hyannis, MA",12700,228996,41.65488000000005,-70.27926999999994
"Baton Rouge, LA",12940,870569,30.443350000000066,-91.18663999999995
"Battle Creek, MI",12980,134310,42.31648000000007,-85.18000999999998
"Bay City, MI",13020,103856,43.59527000000003,-83.88490999999993
"Beaumont, TX",13140,397565,30.086150000000032,-94.10134999999997
"Beckley, WV",13220,115079,37.77792000000005,-81.18785999999994
"Bellingham, WA",13380,226847,48.752350000000035,-122.47121999999996
"Bend, OR",13460,198253,44.05782000000005,-121.31536999999997
"Billings, MT",13740,184167,45.784260000000074,-108.50606999999997
"Binghamton, NY",13780,247138,42.09871000000004,-75.91118999999998
"Birmingham, AL",13820,1115289,33.52072000000004,-86.81178999999997
"Bismarck, ND",13900,133626,46.805360000000064,-100.77968999999996
"Blacksburg, VA",13980,166378,37.226530000000025,-80.41089999999997
"Bloomington, IL",14010,170954,40.485460000000046,-88.99772999999999
"Bloomington, IN",14020,161039,39.166600000000074,-86.53479999999996
"Bloomsburg, PA",14100,82863,41.004590000000064,-76.45332999999994
"Boise City, ID",14260,764718,43.60764000000006,-116.19339999999994
"Boston, MA",14460,4941632,42.35866000000004,-71.05673999999993
"Boulder, CO",14500,330758,40.01574000000005,-105.27923999999996
"Bowling Green, KY",14540,179639,36.994620000000054,-86.44557999999995
"Bremerton, WA",14740,275611,47.565000000000055,-122.62748999999997
"Bridgeport, CT",14860,957419,41.18213000000003,-73.19063999999997
"Brownsville, TX",15180,421017,25.902090000000044,-97.49923999999999
"Brunswick, GA",15260,113495,31.149740000000065,-81.49555999999995
"Buffalo, NY",15380,1166902,42.885440000000074,-78.87845999999996
"Burlington, NC",15500,225562,36.09686000000005,-79.43790999999999
"Burlington, VT",15540,171415,44.47593000000006,-73.21276999999998
"California, MD",15680,113777,38.30326000000008,-76.51897999999994
"Canton, OH",15940,401574,40.79788000000008,-81.37193999999994
"Cape Coral, FL",15980,760822,26.629820000000052,-81.95693999999997
"Cape Girardeau, MO",16020,97517,37.30271000000005,-89.54452999999995
"Carbondale, IL",16060,133435,37.72730000000007,-89.21579999999994
"Carson City, NV",16180,58639,39.16506000000004,-119.76696999999996
"Casper, WY",16220,79955,42.85008000000005,-106.32779
"Cedar Rapids, IA",16300,276520,41.97646000000003,-91.67345999999998
"Chambersburg, PA",16540,155932,39.93743000000006,-77.66074999999995
"Champaign, IL",16580,222538,40.11420000000004,-88.24349999999998
"Charleston, WV",16620,258859,38.35016000000007,-81.63894999999997
"Charleston, SC",16700,799636,32.781150000000025,-79.93159999999995
"Charlotte, NC",16740,2660329,35.222860000000026,-80.83795999999995
"Charlottesville, VA",16820,221524,38.03213000000005,-78.47755999999998
"Chattanooga, TN",16860,562647,35.04672000000005,-85.30946999999998
"Cheyenne, WY",16940,100512,41.13481000000007,-104.82153999999997
"Chicago, IL",16980,9618502,41.884250000000065,-87.63244999999995
"Chico, CA",17020,211632,39.73200000000003,-121.84197999999998
"Cincinnati, OH",17140,2256884,39.162000000000035,-84.45688999999999
"Clarksville, TN",17300,320535,36.531210000000044,-87.35991999999999
"Cleveland, TN",17420,126164,35.160180000000025,-84.87531999999999
"Cleveland, OH",17460,2088251,41.50473000000005,-81.69073999999995
"Coeur d'Alene, ID",17660,171362,47.67168000000004,-116.77584999999999
"College Station, TX",17780,268248,30.620540000000062,-96.32589999999999
"Colorado Springs, CO",17820,755105,38.83352000000008,-104.82180999999997
"Columbia, MO",17860,210864,38.95252000000005,-92.33414999999997
"Columbia, SC",17900,829470,33.99882000000002,-81.04536999999993
"Columbus, GA",17980,328883,32.46288000000004,-84.98756999999995
"Columbus, IN",18020,82208,39.20150000000007,-85.91867999999994
"Columbus, OH",18140,2138926,39.96199000000007,-83.00274999999993
"Corpus Christi, TX",18580,421933,27.796410000000037,-97.40373999999997
"Corvallis, OR",18700,95184,44.565030000000036,-123.26350999999994
"Crestview, FL",18880,286973,30.76183000000003,-86.57101999999998
"Cumberland, MD",19060,95044,39.651770000000056,-78.76332999999994
"Dallas, TX",19100,7637387,32.77822000000003,-96.79511999999994
"Dalton, GA",19140,142837,34.761450000000025,-84.97217999999998
"Danville, IL",19180,74188,40.159800000000075,-87.63043999999996
"Daphne, AL",19300,231767,30.60391000000004,-87.90091999999999
"Davenport, IA",19340,384324,41.53826000000004,-90.57601999999997
"Dayton, OH",19430,814049,39.75920000000008,-84.19380999999998
"Decatur, AL",19460,156494,34.60740000000004,-86.97978999999998
"Decatur, IL",19500,103998,39.84585000000004,-88.95208999999994
"Deltona, FL",19660,668921,28.93223000000006,-81.22334999999998
"Denver, CO",19740,2963821,39.74001000000004,-104.99201999999997
"Des Moines, IA",19780,709466,41.58981000000006,-93.61537999999996
"Detroit, MI",19820,4392041,42.33168000000006,-83.04799999999994
"Dothan, AL",20020,151007,31.223250000000064,-85.39336999999995
"Dover, DE",20100,181851,39.15803000000005,-75.52472999999998
"Dubuque, IA",20220,99266,42.49913000000004,-90.66326999999995
"Duluth, MN",20260,291638,46.787960000000055,-92.09984999999995
"Durham, NC",20500,649903,35.995420000000024,-78.89643999999998
"East Stroudsburg, PA",20700,168327,40.99455000000006,-75.17805999999996
"Eau Claire, WI",20740,172007,44.816580000000044,-91.50076999999999
"El Centro, CA",20940,179702,32.79616000000004,-115.56996999999996
"El Paso, TX",21300,868859,31.759160000000065,-106.48748999999998
"Elizabethtown, KY",21340,155572,37.693670000000054,-85.85911999999996
"Elkhart, IN",21060,207047,41.68676000000005,-85.97566999999998
"Elmira, NY",21140,84148,42.09041000000008,-76.79880999999995
"Enid, OK",21420,62846,36.397620000000074,-97.87833999999998
"Erie, PA",21500,270876,42.12982000000005,-80.08549999999997
"Eugene, OR",21660,382971,44.04992000000004,-123.08853999999997
